,times__trf
35218,399.1559829711914
35219,399.16677045822144
35220,399.17732095718384
35221,399.18969798088074
35222,399.2010250091553
35223,399.2120635509491
35224,399.2235224246979
35225,399.23453187942505
35226,399.2452187538147
35227,399.2562665939331
35228,399.2688009738922
35229,399.28068351745605
35230,399.2917973995209
35231,399.3029327392578
35232,399.3131489753723
35233,399.3244252204895
35234,399.3361608982086
35235,399.3478956222534
35236,399.359619140625
35237,399.37018394470215
35238,399.3808047771454
35239,399.3919098377228
35240,399.40441393852234
35241,399.4158842563629
35242,399.4268503189087
35243,399.43742275238037
35244,399.4485912322998
35245,399.45925068855286
35246,399.46970319747925
35247,399.48050117492676
35248,399.4908139705658
35249,399.5010871887207
35250,399.5117962360382
35251,399.52253794670105
35252,399.53384280204773
35253,399.5450851917267
35254,399.5573797225952
35255,399.57038164138794
35256,399.5811996459961
35257,399.5921232700348
35258,399.6027343273163
35259,399.6138491630554
35260,399.62505412101746
35261,399.63636541366577
35262,399.64720940589905
35263,399.65923285484314
35264,399.670125246048
35265,399.6802113056183
35266,399.69260239601135
35267,399.704687833786
35268,399.715234041214
35269,399.72830176353455
35270,399.7397344112396
35271,399.7502074241638
35272,399.7631211280823
35273,399.77480363845825
35274,399.785683631897
35275,399.7960419654846
35276,399.80694365501404
35277,399.81781482696533
35278,399.829416513443
35279,399.8405978679657
35280,399.8508651256561
35281,399.8617146015167
35282,399.87186431884766
35283,399.8825001716614
35284,399.8933207988739
35285,399.9042615890503
35286,399.9160315990448
35287,399.92685890197754
35288,399.9389841556549
35289,399.9503095149994
35290,399.96075463294983
35291,399.9714493751526
35292,399.9831566810608
35293,399.9937562942505
35294,400.00474858283997
35295,400.01606488227844
35296,400.0288972854614
35297,400.04030108451843
35298,400.0519425868988
35299,400.0626554489136
35300,400.07360911369324
35301,400.0858426094055
35302,400.09716987609863
35303,400.10879611968994
35304,400.11997628211975
35305,400.1315186023712
35306,400.1420199871063
35307,400.15412974357605
35308,400.1645710468292
35309,400.1774296760559
35310,400.1896941661835
35311,400.2014982700348
35312,400.21311116218567
35313,400.2237992286682
35314,400.23556756973267
35315,400.2464647293091
35316,400.25793719291687
35317,400.2695152759552
35318,400.2800226211548
35319,400.2922251224518
35320,400.30344247817993
35321,400.3145682811737
35322,400.32620787620544
35323,400.33719277381897
35324,400.34727144241333
35325,400.35867261886597
35326,400.369384765625
35327,400.38044786453247
35328,400.39131236076355
35329,400.4027609825134
35330,400.4145390987396
35331,400.4259135723114
35332,400.43652963638306
35333,400.44791436195374
35334,400.4585750102997
35335,400.46888637542725
35336,400.48138070106506
35337,400.49228072166443
35338,400.50311493873596
35339,400.5136682987213
35340,400.52437114715576
35341,400.5345494747162
35342,400.5469481945038
35343,400.55797004699707
35344,400.568528175354
35345,400.5798077583313
35346,400.59153056144714
35347,400.60558795928955
35348,400.61760783195496
35349,400.62790179252625
35350,400.63904571533203
35351,400.6490685939789
35352,400.6600272655487
35353,400.6721179485321
35354,400.6843798160553
35355,400.6950056552887
35356,400.7073702812195
35357,400.71790742874146
35358,400.7292037010193
35359,400.74035453796387
35360,400.75249123573303
35361,400.7635440826416
35362,400.77432107925415
35363,400.78489232063293
35364,400.7953989505768
35365,400.80728459358215
35366,400.8185112476349
35367,400.83022475242615
35368,400.8414738178253
35369,400.8524866104126
35370,400.8660795688629
35371,400.8777871131897
35372,400.8891272544861
35373,400.89945697784424
35374,400.90969014167786
35375,400.921591758728
35376,400.93203020095825
35377,400.94321060180664
35378,400.95391273498535
35379,400.9645686149597
35380,400.9746034145355
35381,400.98514890670776
35382,400.99608397483826
35383,401.00716161727905
35384,401.01835918426514
35385,401.0286419391632
35386,401.0397503376007
35387,401.05075216293335
35388,401.06172490119934
35389,401.0725769996643
35390,401.0833432674408
35391,401.0942978858948
35392,401.10453057289124
35393,401.1153883934021
35394,401.1260278224945
35395,401.13637471199036
35396,401.14673829078674
35397,401.157666683197
35398,401.1689889431
35399,401.17981481552124
35400,401.1904683113098
35401,401.2014603614807
35402,401.212162733078
35403,401.223185300827
35404,401.23409032821655
35405,401.2451984882355
35406,401.25740098953247
35407,401.2682981491089
35408,401.27954292297363
35409,401.29227209091187
35410,401.3030650615692
35411,401.3150577545166
