,times__sm
22774,124.77579641342163
22775,124.7810869216919
22776,124.7848687171936
22777,124.791335105896
22778,124.79545640945435
22779,124.8013174533844
22780,124.80573010444641
22781,124.8095703125
22782,124.81531000137329
22783,124.82046842575073
22784,124.82455921173096
22785,124.83000302314758
22786,124.83459496498108
22787,124.83931469917297
22788,124.84764504432678
22789,124.8529462814331
22790,124.85677361488342
22791,124.86283421516418
22792,124.86829924583435
22793,124.87461161613464
22794,124.87852311134338
22795,124.88300800323486
22796,124.8897590637207
22797,124.89568376541138
22798,124.90072631835938
22799,124.90597724914551
22800,124.91051983833313
22801,124.91412711143494
22802,124.9171690940857
22803,124.92653846740723
22804,124.93366932868958
22805,124.93778038024902
22806,124.9424991607666
22807,124.94729614257812
22808,124.95061039924622
22809,124.95440077781677
22810,124.95912599563599
22811,124.96473145484924
22812,124.97005224227905
22813,124.97543334960938
22814,124.98053431510925
22815,124.98580384254456
22816,124.99145293235779
22817,124.9974250793457
22818,125.00183963775635
22819,125.0092101097107
22820,125.01451420783997
22821,125.01836133003235
22822,125.02251505851746
22823,125.02726173400879
22824,125.03228163719177
22825,125.03692150115967
22826,125.04203820228577
22827,125.04657983779907
22828,125.05111622810364
22829,125.05526566505432
22830,125.06278824806213
22831,125.06854724884033
22832,125.07313394546509
22833,125.07880401611328
22834,125.08491945266724
22835,125.09525918960571
22836,125.09925365447998
22837,125.10454106330872
22838,125.10930705070496
22839,125.11407685279846
22840,125.11868596076965
22841,125.1231005191803
22842,125.12867784500122
22843,125.13287997245789
22844,125.13874316215515
22845,125.1436014175415
22846,125.14706993103027
22847,125.15124559402466
22848,125.15771102905273
22849,125.1636312007904
22850,125.16874146461487
22851,125.17535448074341
22852,125.18029856681824
22853,125.18544316291809
22854,125.19002747535706
22855,125.19680619239807
22856,125.20130896568298
22857,125.20508694648743
22858,125.20983409881592
22859,125.21470403671265
22860,125.21834349632263
22861,125.22440481185913
22862,125.23141932487488
22863,125.23553848266602
22864,125.23956298828125
22865,125.24688673019409
22866,125.25044846534729
22867,125.25507712364197
22868,125.26107406616211
22869,125.26719999313354
22870,125.27164077758789
22871,125.2791178226471
22872,125.28496408462524
22873,125.2931878566742
22874,125.30027770996094
22875,125.30797243118286
22876,125.3116774559021
22877,125.31571936607361
22878,125.32164978981018
22879,125.32794833183289
22880,125.33211398124695
22881,125.33623909950256
22882,125.34134125709534
22883,125.34554719924927
22884,125.35031843185425
22885,125.3567419052124
22886,125.36331367492676
22887,125.36918830871582
22888,125.37309288978577
22889,125.37828874588013
22890,125.38629698753357
22891,125.3913197517395
22892,125.39458775520325
22893,125.40192103385925
22894,125.40865588188171
22895,125.4143009185791
22896,125.41909790039062
22897,125.42344617843628
22898,125.42781090736389
22899,125.43453741073608
22900,125.43922829627991
22901,125.44461989402771
22902,125.44924187660217
22903,125.45511960983276
22904,125.4603362083435
22905,125.46447920799255
22906,125.47172117233276
22907,125.47548747062683
22908,125.48128271102905
22909,125.4865837097168
22910,125.49240207672119
22911,125.49620485305786
22912,125.50392723083496
22913,125.51200199127197
22914,125.51902866363525
22915,125.52451992034912
22916,125.53030467033386
22917,125.53531765937805
22918,125.53884363174438
22919,125.54266929626465
22920,125.54791903495789
22921,125.55229043960571
22922,125.55610680580139
22923,125.56027030944824
22924,125.57091760635376
22925,125.5774438381195
22926,125.58381390571594
22927,125.58876943588257
22928,125.59418296813965
22929,125.59901976585388
22930,125.60558128356934
22931,125.60919785499573
22932,125.61423397064209
22933,125.61880850791931
22934,125.62750482559204
22935,125.63274264335632
22936,125.63692545890808
22937,125.64084315299988
22938,125.64547562599182
22939,125.65089011192322
22940,125.65422677993774
22941,125.66104865074158
22942,125.66546773910522
22943,125.6701283454895
22944,125.67548680305481
22945,125.68002533912659
22946,125.68780398368835
22947,125.69265007972717
22948,125.6967442035675
22949,125.70031929016113
22950,125.70533299446106
22951,125.71110010147095
22952,125.71693825721741
22953,125.720538854599
22954,125.72659468650818
22955,125.73073601722717
22956,125.73445105552673
22957,125.73848223686218
22958,125.74477124214172
22959,125.74961471557617
22960,125.75610876083374
22961,125.75968956947327
22962,125.76436233520508
22963,125.77062249183655
22964,125.77551102638245
22965,125.78308033943176
22966,125.78856134414673
22967,125.79367160797119
22968,125.79925227165222
22969,125.80448770523071
22970,125.81003832817078
22971,125.8158667087555
22972,125.82284879684448
22973,125.82667255401611
22974,125.83085989952087
22975,125.83873629570007
22976,125.84286904335022
22977,125.84871625900269
22978,125.85343956947327
22979,125.85760712623596
22980,125.86285090446472
22981,125.86905837059021
22982,125.87399530410767
22983,125.8788104057312
22984,125.88393115997314
22985,125.88817429542542
22986,125.8935296535492
22987,125.89819312095642
22988,125.90681743621826
22989,125.91244530677795
22990,125.91700315475464
22991,125.92226028442383
22992,125.92628741264343
22993,125.9341208934784
22994,125.93968176841736
22995,125.94505381584167
22996,125.95094776153564
22997,125.95766687393188
22998,125.96370720863342
22999,125.96826481819153
23000,125.97160935401917
23001,125.97803473472595
23002,125.98390483856201
23003,125.99139881134033
23004,125.99547052383423
23005,126.00109553337097
23006,126.00588250160217
23007,126.0118408203125
23008,126.01862502098083
23009,126.02261519432068
23010,126.02981925010681
23011,126.0335910320282
